5
1
1
1
0
1
1
1
0
1
0
1
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5 17
1 -1 2 3
2 -1 4 5
4 -1 8 9
8 -1 16 17
16 4 0 0
17 -1 34 35
34 0 0 0
35 5 0 0
9 3 0 0
5 -1 10 11
10 -1 20 21
20 -1 40 41
40 2 0 0
41 0 0 0
21 3 0 0
11 1 0 0
3 -1 6 7
6 -1 12 13
12 -1 24 25
24 -1 48 49
48 5 0 0
49 0 0 0
25 2 0 0
13 -1 26 27
26 -1 52 53
52 1 0 0
53 2 0 0
27 -1 54 55
54 1 0 0
55 3 0 0
7 -1 14 15
14 -1 28 29
28 5 0 0
29 4 0 0
15 4 0 0
