5
0
0
1
1
1
0
1
0
0
1
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5 16
1 -1 2 3
2 -1 4 5
4 -1 8 9
8 1 0 0
9 4 0 0
5 -1 10 11
10 -1 20 21
20 -1 40 41
40 1 0 0
41 5 0 0
21 -1 42 43
42 3 0 0
43 2 0 0
11 1 0 0
3 -1 6 7
6 -1 12 13
12 -1 24 25
24 2 0 0
25 4 0 0
13 -1 26 27
26 5 0 0
27 1 0 0
7 -1 14 15
14 -1 28 29
28 -1 56 57
56 2 0 0
57 5 0 0
29 -1 58 59
58 5 0 0
59 3 0 0
15 -1 30 31
30 3 0 0
31 4 0 0
